"File Name", "#states", "#Inputs", "L* MQ (symbols)", "L* MQ resets", "L* EQ (symbols)", "L* EQ resets", "L* total symbols", "L* total resets", "L* EQ",  "l* #states", "LIP MQ symbols", "LIP MQ resets", "LIP EQ symbols", "LIP EQ resets", "LIP total symbols", "LIP total resets", "LIP EQs", "l* #states", "LIP Rounds", "#components"

"Benchmarks/BCS_SPL/Complete_FSM_files/products/2wise_1.txt","6","5","480","155","376099","53373","376579","53528","learning rounds [#]: 1","6","102","42","11","53359","376366","53401",,"6",,"4"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/2wise_2.txt","4","4","196","68","60526","8871","60722","8939","learning rounds [#]: 1","4","49","22","8","8882","60606","8904",,"4",,"3"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/2wise_3.txt","4","4","196","68","60530","8874","60726","8942","learning rounds [#]: 1","4","52","23","8","8895","60664","8918",,"4",,"3"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/4wise_20.txt","52","13","52741","8801","957216912","97461857","957269653","97470658","learning rounds [#]: 1","52","5390","1100","33","98368374","965841508","98369474",,"52",,"11"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/2wise_4.txt","6","5","480","155","376098","53372","376578","53527","learning rounds [#]: 1","6","107","44","11","53355","376351","53399",,"6",,"4"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/2wise_6.txt","6","5","480","155","376101","53374","376581","53529","learning rounds [#]: 1","6","102","42","11","53375","376419","53417",,"6",,"4"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/2wise_7.txt","39","14","61384","9562","988521236","100156502","988582620","100166064","learning rounds [#]: 3","39","15852","2555","46","106214437","1049123854","106216992",,"39",,"13"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/2wise_9.txt","26","13","36888","5805","385210858","39856782","385247746","39862587","learning rounds [#]: 3","26","15766","2526","43","45149242","437428944","45151768",,"26",,"12"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/2wise_11.txt","4","4","196","68","60530","8874","60726","8942","learning rounds [#]: 1","4","49","22","8","8896","60663","8918",,"4",,"3"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/2wise_13.txt","4","4","196","68","60530","8874","60726","8942","learning rounds [#]: 1","4","44","20","8","8888","60622","8908",,"4",,"3"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/2wise_14.txt","4","4","196","68","60530","8874","60726","8942","learning rounds [#]: 1","4","52","23","8","8897","60666","8920",,"4",,"3"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/2wise_15.txt","26","13","37274","5805","385210923","39856794","385248197","39862599","learning rounds [#]: 3","26","15761","2525","43","45149563","437430765","45152088",,"26",,"12"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/2wise_17.txt","16","11","10901","1947","73456962","7986896","73467863","7988843","learning rounds [#]: 1","16","4104","771","29","8563782","78972073","8564553",,"16",,"10"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/2wise_18.txt","4","4","196","68","60530","8874","60726","8942","learning rounds [#]: 1","4","44","20","8","8897","60661","8917",,"4",,"3"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/2wise_19.txt","6","5","480","155","376099","53373","376579","53528","learning rounds [#]: 1","6","105","43","11","53353","376345","53396",,"6",,"4"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/2wise_3.txt","4","4","196","68","60526","8871","60722","8939","learning rounds [#]: 1","4","52","23","8","8881","60608","8904",,"4",,"3"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/2wise_14.txt","4","4","196","68","60530","8874","60726","8942","learning rounds [#]: 1","4","52","23","8","8897","60666","8920",,"4",,"3"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/2wise_3.txt","4","4","196","68","60529","8873","60725","8941","learning rounds [#]: 1","4","44","20","8","8889","60632","8909",,"4",,"3"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/2wise_14.txt","4","4","196","68","60529","8873","60725","8941","learning rounds [#]: 1","4","52","23","8","8894","60651","8917",,"4",,"3"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/2wise_3.txt","4","4","196","68","60529","8873","60725","8941","learning rounds [#]: 1","4","44","20","8","8889","60632","8909",,"4",,"3"
"Benchmarks/BCS_SPL/Complete_FSM_files/products/5wise_20.txt","72","13","62881","12181","1127251208","123221755","1127314089","123233936","learning rounds [#]: 1","72","968","301","31","123279389","1127690227","123279690",,"72",,"10"
