,STATES,inputs,LSTAR_rndWords_total_sym_mean,LSTAR_rndWords_total_sym_std,LSTAR_rndWords_total_reset_mean,LSTAR_rndWords_total_reset_std,LSTAR_rndWords_mq_sym_mean,LSTAR_rndWords_mq_sym_std,LSTAR_rndWords_mq_reset_mean,LSTAR_rndWords_mq_reset_std,LSTAR_rndWords_eq_sym_mean,LSTAR_rndWords_eq_sym_std,LSTAR_rndWords_eq_reset_mean,LSTAR_rndWords_eq_reset_std,LSTAR_rndWords_eqs,LIP_rndWords_rndWords_total_sym_mean,LIP_rndWords_rndWords_total_sym_std,LIP_rndWords_rndWords_total_reset_mean,LIP_rndWords_rndWords_total_reset_std,LIP_rndWords_rndWords_mq_sym_mean,LIP_rndWords_rndWords_mq_sym_std,LIP_rndWords_rndWords_mq_reset_mean,LIP_rndWords_rndWords_mq_reset_std,LIP_rndWords_rndWords_eq_sym_mean,LIP_rndWords_rndWords_eq_sym_std,LIP_rndWords_rndWords_eq_reset_mean,LIP_rndWords_rndWords_eq_reset_std,LIP_rndWords_rndWords_eqs,LIP_rndWords_rndWords_components,LIP_rndWords_rndWords_rounds,LIP_rndWords_rndWords_TOTAL_SYM_progress,LIP_rndWords_rndWords_TOTAL_RST_progress,LIP_rndWords_rndWords_MQ_SYM_progress,LIP_rndWords_rndWords_MQ_RST_progress,LIP_rndWords_rndWords_EQ_SYM_progress,LIP_rndWords_rndWords_EQ_RST_progress,LIP_rndWords_rndWords_TOTAL_SYM_pvalue,LIP_rndWords_rndWords_TOTAL_RST_pvalue
0,"(0, 300]",16.36111111111111,1505657.6296296297,2615159.9061590238,63753.90740740741,38832.01864815184,1205335.7314814816,2615043.4785580384,61753.12037037037,38830.53200232398,300321.89814814815,1359.4765068609354,2000.787037037037,2.778592819160479,1.1851851851851851,2002778.0833333333,2448151.154720273,19531.805555555555,29615.497873077355,831967.5925925926,2361135.7491786536,11742.564814814816,29028.0579163958,1170810.4907407407,189467.5061462033,7789.240740740741,1262.9356978945004,39.842592592592595,4.981481481481482,12.37962962962963,-33.01683224133684,69.36375141567213,30.976277325652756,80.9846615937986,-289.85185494638233,-289.3088368003332,0.9999821753054844,1.909173430254369e-28
1,"(300, 600]",19.536231884057973,2347183.8695652173,2834380.5808159234,187341.3768115942,65257.85738494309,2046854.4927536233,2833854.888876726,185340.66666666666,65257.08454365132,300329.3768115942,1331.1933291052887,2000.7101449275362,2.7121808528723017,1.144927536231884,2007443.1449275361,2382620.467383217,17856.710144927536,28259.601963758138,645836.1739130435,2374623.959360965,8795.449275362318,28208.154252093296,1361606.9710144927,156154.09044622362,9061.260869565218,1038.2665793378023,47.72463768115942,5.6521739130434785,14.884057971014492,14.474397555425146,90.46835757864335,68.44738225411406,95.25444176200098,-353.37122377764285,-352.90223036747824,0.007434409131215653,1.0540775711952096e-33
2,"(600, 900]",21.258064516129032,7875284.645161291,6262292.443135835,420230.5,77944.01882682885,7569981.983870967,6257734.60187294,418194.53225806454,77928.19091363992,305302.6612903226,37825.77382734547,2035.967741935484,250.75904231555495,1.7258064516129032,5005139.564516129,4408369.926018968,57435.22580645161,56274.51558076546,3479186.9032258065,4380652.021744363,47290.45161290323,56110.579585893014,1525952.6612903227,134983.9794860849,10144.774193548386,897.6525381923168,56.04838709677419,5.258064516129032,17.0,36.44496941972285,86.33244711974699,54.039693745127,88.69175755178917,-399.8163641420875,-398.277746969817,1.53706750452644e-08,1.0679408424403845e-43
3,"(900, 1200]",20.807692307692307,9258918.192307692,6663334.645329132,556941.0384615385,147915.83625007316,8958309.346153846,6662334.895670118,554936.8846153846,147914.648090668,300608.8461538461,1926.4077593761342,2004.1538461538462,6.011271464123428,1.7692307692307692,4409352.076923077,3757307.023501805,50800.653846153844,50224.87222398265,2973161.1923076925,3750725.7986938907,41245.07692307692,50246.9040558107,1436190.8846153845,177453.7254913126,9555.576923076924,1178.9387489798416,53.11538461538461,5.961538461538462,15.846153846153847,52.377243374000585,90.87862981214624,66.81113503203385,92.56760938648671,-377.76068568533344,-376.78859292239196,8.359813398975757e-07,3.7990544445058035e-16
4,"(1200, 1500]",22.533333333333335,12592727.266666668,9311767.30202743,760326.7333333333,136904.04003924306,12292530.666666666,9311323.499416532,758322.6666666666,136900.80086203536,300196.6,1708.1997541271385,2004.0666666666666,6.181385266226624,1.8,5378573.8,4798094.6388521055,62561.933333333334,60125.88840147533,3847980.8666666667,4741394.535186515,52379.933333333334,59770.5829083967,1530592.9333333333,113265.84427258268,10182.0,757.6130750116253,57.6,6.466666666666667,17.066666666666666,57.288253083688645,91.77170411211812,68.69659331335951,93.09265888575136,-409.863513888343,-408.06693057449854,0.0006490845545926887,4.1760568623016367e-13
5,"(1500, 1800]",22.454545454545453,14264010.363636363,10726103.243938608,966278.1818181818,275862.82985789055,13962713.181818182,10725240.437674588,964269.1818181818,275856.74845481047,301297.1818181818,2482.210355929225,2009.0,16.01190033634209,1.7727272727272727,6478217.909090909,5576873.638533501,79901.81818181818,80507.59836877651,4932738.909090909,5506236.125082169,69617.5,80084.86336425522,1545479.0,190935.31787492856,10284.318181818182,1273.1637902471687,58.36363636363637,6.318181818181818,17.136363636363637,54.5834744651756,91.73097150641732,64.67206018731251,92.78028362695026,-412.94173768031504,-411.91230372415043,0.0004308294628141701,4.973027074054803e-13
6,"(1800, 2100]",22.733333333333334,13539492.933333334,5310108.013257512,1138084.9333333333,188390.11805804409,13206978.533333333,5248284.708783526,1135867.4666666666,188702.8619950525,332514.4,73905.386648645,2217.4666666666667,490.26900293420056,1.8,8460598.0,13958718.615903411,181246.6,369932.96402317466,6881442.133333334,13922976.212800337,170743.46666666667,369663.6794944961,1579155.8666666667,98485.05599100998,10503.133333333333,652.2465426362581,58.2,6.4,17.333333333333332,37.51170711001615,84.07442233075282,47.8954091129539,84.96801152622734,-374.91352755449583,-373.65462088870186,0.029642999064995335,2.1822240899640633e-06
7,"(2100, 2400]",24.41176470588235,19122454.647058822,6287714.182218775,1496533.1764705882,220211.8459456244,18822043.70588235,6287094.048845984,1494527.4705882352,220214.14214439027,300410.9411764706,1361.149535805506,2005.7058823529412,7.1042654958337135,1.8823529411764706,5583202.823529412,4215184.513629655,62256.64705882353,53006.087844865964,3875448.0,4295476.446067829,50888.882352941175,53530.73395826265,1707754.8235294118,120633.53106891306,11367.764705882353,805.3148087403277,63.94117647058823,6.0,19.41176470588235,70.8028967693844,95.83994207160518,79.4100573744347,96.59498514718423,-468.47291141976893,-466.7712701997243,1.7973843838692188e-10,2.442956546140846e-14
8,"(2400, 3500]",24.34375,26638242.71875,16624373.517963553,1899997.0,403026.91045115894,26315839.75,16551650.379103087,1897848.25,403031.24626341957,322402.96875,114179.99299054792,2148.75,757.9076460888886,2.25,9212305.40625,15287700.402582135,114239.84375,222884.5554689416,7587113.9375,15289463.809651561,103430.40625,222930.84580372702,1625191.46875,146625.90777212253,10809.4375,979.2277384294614,63.21875,7.28125,18.0625,65.41699276669746,93.98736715110603,71.16902211908325,94.55012242153713,-404.0870048595047,-403.0570098894707,1.8370948799419412e-10,1.5650355421511178e-20
